N°Obs;1. Copiez ci-dessous l'extrait que vous trouvez problématique;"2. En option, si vous le souhaitez : quel est selon vous le type de problème?  (Vous pouvez cocher plusieurs réponses. Si vous ne savez pas que répondre, cochez ""autres"").";3. Autres :;4. En option, si vous le souhaitez : merci de localiser ce qui vous parait problématique dans l'extrait et d'indiquer pourquoi.;5. Pour finir, merci de préciser le niveau (ex. Licence1, Master 2 etc.), le contexte (ex. IUT Info-com, Master MEEF-PE), et le genre (ex. dissertation, mémoire, devoir d'analyse type CRPE etc.). Si vos étudiants n'ont pas pour langue maternelle le français, merci de l'indiquer aussi.;6. Clé;7. Date de saisie;8. Date de dernière modification;9. Date de dernier enregistrement;10. Temps de saisie;11. Langue;12. Origine;13. Appareil utilisé pour la saisie;14. Progression
665;c’est en allant assister à une messe qu’il se fit assassiné ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;X7A3-PTPV;25/01/2019 11:02:58;;25/01/2019 11:03:11;13,0063335;FR;Direct;PC;Terminé
666;étant excommunié, il doit se faire enterré en dehors du cimetière ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;9GR6-5V8A;25/01/2019 11:03:12;;25/01/2019 11:05:48;156,5874169;FR;Direct;PC;Terminé
667;les relations d’Arnoul avec ses égaux semblent valoriser par l’auteur ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de l’inf. au lieu du p.p.);L1-L2 histoire;TPXN-6FL7;25/01/2019 11:05:50;;25/01/2019 11:06:16;26,296696;FR;Direct;PC;Terminé
668;Athènes voient alors Sparte dissoudre ce guerre (?) et la cité fait executé les oligarque du gouverment et leur aides;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;KCMG-EKH6;25/01/2019 11:06:17;;25/01/2019 11:06:35;18,0281847;FR;Direct;PC;Terminé
669;Le peuple attendait que le sénat ratifie pour qu’il soit enfin exhauser;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de l’inf. au lieu du p.p.);L1-L2 histoire;V2QJ-BA8P;25/01/2019 11:06:36;;25/01/2019 11:06:55;19,4017948;FR;Direct;PC;Terminé
670;Il fait assassiné ces opposant politique comme le consul Bibulus descendut sur le forum, qui lui s’opposait à la loie sur les terres ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;KBB6-AEJJ;25/01/2019 11:06:56;;25/01/2019 11:07:25;28,8905585;FR;Direct;PC;Terminé
671;Rome cherche par diverses lois a désolidarisé les alliés;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;E8SW-FMYV;25/01/2019 11:07:26;;25/01/2019 11:07:45;19,0889684;FR;Direct;PC;Terminé
672;les enfants sont entrainer pour devenir des guerriers.;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de l’inf. au lieu du p.p.);L1-L2 histoire;RGCJ-Q374;25/01/2019 11:07:46;;25/01/2019 11:08:02;15,9023987;FR;Direct;PC;Terminé
673;Auguste était un empereur vénérait à la tête d'un vaste royaume qui avait en son centre Rome;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de la désinence de la 3P SG de l'imparfait au lieu du p.p.);L1-L2 histoire;C776-WHZV;25/01/2019 11:08:03;;25/01/2019 11:08:56;53,2249321;FR;Direct;PC;Terminé
674;Lors d’un pélerinage à Troie, il se rapprochera volontairement de la figure d’Achille ayant été éduqué dans les faits d’armes de l’Iliade voulant présenté cette image de guerrier invincible. ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;BXG5-ZJKY;25/01/2019 11:08:58;;25/01/2019 11:09:44;46,0092654;FR;Direct;PC;Terminé
675;les redevances étaient payer en nature, en argent ou en travail ;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de l’inf. au lieu du p.p.);L1-L2 histoire;DJGS-6AGF;25/01/2019 11:09:45;;25/01/2019 11:10:34;48,7495857;FR;Direct;PC;Terminé
676;L’Église s’implique dans ce commerce en autorizant la vente, car l’Église possède à l’époque beaucoup de terres à cultivé en Europe, et de la maind’œuvre est donc très demandé.;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;WG4C-ZNZ8;25/01/2019 11:10:35;;25/01/2019 11:11:05;30,3818724;FR;Direct;PC;Terminé
677;Il est important de remarquez que cette date s’inscrit…;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné de la désinence de la 2P PL au lieu de l’inf.);L1-L2 histoire;QAKY-WRV6;25/01/2019 11:11:06;;25/01/2019 11:11:52;45,9856054;FR;Direct;PC;Terminé
678;Les parrains furent recherchés afin de témoigné de sa moralité.;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;EP6X-GEQG;25/01/2019 11:11:53;;25/01/2019 11:12:08;15,1194386;FR;Direct;PC;Terminé
679;Il est important de noté que…;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;8ARP-7PFE;25/01/2019 11:12:09;;25/01/2019 11:13:06;57,0324129;FR;Direct;PC;Terminé
680;Il ne faut cependant pas oublié que…;Orthographe;;Confusion de l’infinitif et du participe passé (emploi erroné du p.p. au lieu de l’inf.);L1-L2 histoire;FLF5-P33L;25/01/2019 11:13:07;;25/01/2019 11:13:22;14,4819894;FR;Direct;PC;Terminé
681;L’amitié qui les liée était tellement forte qu’ils sont morts presque en même temps.;Orthographe;;Confusion de la désinence d’un verbe du 1er groupe et du participe passé (emploi erroné du p.p. au lieu de la désinence de);L1-L2 histoire;E4S4-PB9Y;25/01/2019 11:13:23;;25/01/2019 11:13:59;36,6401497;FR;Direct;PC;Terminé
682;les redevances étaient payées en nature, en argent ou en travaille;Orthographe;;Confusion de la désinence verbale et du nom (emploi erroné d’une forme verbale de la 3P SG au lieu du nom déverbal);L1-L2 histoire;TNLV-WYGF;25/01/2019 11:14:01;;25/01/2019 11:22:45;524,3687992;FR;Direct;PC;Terminé
683;Quelles sont les conditions du maintient du statut de citoyen ?;Orthographe;;Confusion de la désinence verbale et du nom (ajout erroné d’un « t » de la 3P SG à un nom déverbal);L1-L2 histoire;VMVJ-FFYB;25/01/2019 11:22:46;;25/01/2019 11:24:34;107,5245512;FR;Direct;PC;Terminé
684;le soutient du peuple;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;M28V-26WX;25/01/2019 11:24:35;;25/01/2019 11:26:05;90,251309;FR;Direct;PC;Terminé
685;elle transfert le trésor ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un verbe du 1er groupe;L1-L2 histoire;GGRS-9AVE;25/01/2019 11:26:06;;25/01/2019 11:26:57;51,0656077;FR;Direct;PC;Terminé
686;Octavien alors âgé de 19 ans s’oppose à Marc Antoine, il a derrière lui le soutient du Sénat ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;JYCV-UQFG;25/01/2019 11:26:58;;25/01/2019 11:27:10;11,70084;FR;Direct;PC;Terminé
687;Les femmes d’Athènes et de Sparte reste pendant toutes leurs vient sous la domination de leurs tuteurs;Orthographe;;Emploi erroné de la forme verbale à la 3P PL au lieu du nom;L1-L2 histoire;QZGA-V2C9;25/01/2019 11:27:10;;25/01/2019 11:29:18;127,1226367;FR;Direct;PC;Terminé
688;le seigneur emploi ses sujets... ;Orthographe;;Emploi erroné d’un nom déverbal au lieu de la forme verbale de la 3P SG;L1-L2 histoire;C8MR-L6AR;25/01/2019 11:29:19;;25/01/2019 11:30:49;90,363627;FR;Direct;PC;Terminé
689;le seigneur ne travail pas lui-même la terre ;Orthographe;;Emploi erroné d’un nom déverbal au lieu de la forme verbale de la 3P SG;L1-L2 histoire;GXYT-TJFV;25/01/2019 11:30:50;;25/01/2019 11:32:10;79,3595683;FR;Direct;PC;Terminé
690;en raison des bonnes relations qu’il entretien avec eux ;Orthographe;;Emploi erroné d’un nom déverbal au lieu de la forme verbale de la 3P SG;L1-L2 histoire;22NH-JTJA;25/01/2019 11:32:11;;25/01/2019 11:32:53;41,522929;FR;Direct;PC;Terminé
691;les écuyers sont ceux qui s’occupent de l’entretient des chevaux ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;22M4-6XSV;25/01/2019 11:32:54;;25/01/2019 11:33:16;22,5595673;FR;Direct;PC;Terminé
692;L’armée joue un rôle très important dans le maintient de l’ordre dans les provinces ainsi que dans la ville de Rome ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;JN23-58MU;25/01/2019 11:33:17;;25/01/2019 11:34:23;65,8929379;FR;Direct;PC;Terminé
693;C’est avec ce pouvoir qu’il obtient le soutien des armées, indispensable dans le maintient de sa gouvernance ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;8JYT-6TPC;25/01/2019 11:34:24;;25/01/2019 11:34:38;14,0753688;FR;Direct;PC;Terminé
694;Le rôle de l’armée est primordial, que ce soit dans la formation de l’Empire, comme dans le maintient de celui-ci ;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;76ZW-Q774;25/01/2019 11:34:39;;25/01/2019 11:36:02;82,4103713;FR;Direct;PC;Terminé
695;Il conseil donc d'être garant de la paix ;Orthographe;;Emploi erroné d’un nom déverbal au lieu de la forme verbale de la 3P SG;L1-L2 histoire;N5LB-M4AE;25/01/2019 11:36:03;;25/01/2019 11:36:19;15,7902645;FR;Direct;PC;Terminé
696;perpétuation de la République sous le règne d'Auguste au travers du maintient de ses institutions;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;D62R-PTXS;25/01/2019 11:36:20;;25/01/2019 11:36:48;28,3735003;FR;Direct;PC;Terminé
697;Afin de faciliter l'ascension de Tibère, il a pris dans son testament certaines dispositions favorables au maintient de l'ordre social;Orthographe;;Ajout erroné d’un « t » de la 3P SG à un nom déverbal;L1-L2 histoire;AGWQ-TC2D;25/01/2019 11:36:50;;25/01/2019 11:37:44;54,3197048;FR;Direct;PC;Terminé
698;Ils récoltent les victuaillent des champs;Orthographe;;"Emploi erroné de « nt » de la 3P PL au lieu de ""s"" du pluriel";L1-L2 histoire;ULKX-F7FA;25/01/2019 11:37:46;;25/01/2019 11:39:18;92,4475839;FR;Direct;PC;Terminé
699;Lorsque l’historien travail sur une édition, il doit être conscient que…;Orthographe;;Emploi erroné d’un nom déverbal au lieu de la forme verbale de la 3P SG;L1-L2 histoire;P5PB-QM94;25/01/2019 11:39:20;;25/01/2019 11:39:35;15,0361337;FR;Direct;PC;Terminé
700;L’esclavage médiéval s’intensifit.;Orthographe;;Ajout erroné d’un « t » de la 3P SG dans la désinence d’un verbe du 1er groupe;L1-L2 histoire ;WUHC-HTUV;25/01/2019 11:39:36;;25/01/2019 11:53:42;845,5968461;FR;Direct;PC;Terminé
701;Pour être asservit, il faut être acheté par une autre personne.;Orthographe;;Ajout erroné d’un « t » de la 3P SG dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;ZFFR-F2LT;25/01/2019 11:53:43;;25/01/2019 11:54:25;42,0926544;FR;Direct;PC;Terminé
702;il était loin d’avoir accomplit;Orthographe;;Ajout erroné d’un « t » dans le participe passé d’un verbe du 2e groupe;L1-L2 histoire ;34AX-WJEK;25/01/2019 11:54:26;;25/01/2019 11:55:31;64,7084589;FR;Direct;PC;Terminé
703;l’accord est conclut entre un seigneur laïc et un seigneur ecclésiastique;Orthographe;;Ajout erroné d’un « t » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;Y6Q7-A6PC;25/01/2019 11:55:32;;25/01/2019 11:55:48;15,90059;FR;Direct;PC;Terminé
704;il est choisit;Orthographe;;Ajout erroné d’un « t » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;B5ZG-FZEW;25/01/2019 11:55:49;;25/01/2019 11:56:13;24,8673406;FR;Direct;PC;Terminé
705;Le califat abasside a reprit les mêmes dictats.;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;T792-4HK4;25/01/2019 11:56:14;;25/01/2019 11:57:00;45,8392793;FR;Direct;PC;Terminé
706;ils ont grandit;Orthographe;;Ajout erroné d’un « t » dans le participe passé d’un verbe du 2e groupe;L1-L2 histoire ;6WNS-4B78;25/01/2019 11:57:01;;25/01/2019 11:57:21;19,4221729;FR;Direct;PC;Terminé
707;Les Francs, au départ considérés comme un peuple barbare par les Romains ont finalement mit en place leur première dynastie (Mérovingiens : 481-751).;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;YWKL-UVW3;25/01/2019 11:57:22;;25/01/2019 11:58:04;41,3692669;FR;Direct;PC;Terminé
708;L’amitié n’est pas réservée à une « élite », même si certaines amitiés, par exemple scolaires, peuvent exclurent certains membres de la société.;Orthographe;;Ajout erroné de « nt » de la 3P PL à l'infinitif d’un verbe du 3e groupe;L1-L2 histoire ;6GAH-7QNJ;25/01/2019 11:58:05;;25/01/2019 12:00:57;171,7428128;FR;Direct;PC;Terminé
709;L’importance de l’amitié rejaillie avec la redécouverte des auteurs antiques.;Orthographe;;Emploi erroné d’un « e » au lieu d’un « t » dans la désinence d’un verbe du 2e groupe;L1-L2 histoire ;WAAU-ENAK;25/01/2019 12:00:58;;25/01/2019 12:02:20;81,2100957;FR;Direct;PC;Terminé
710;Ces documents sont des chartes émisent par le roi d’Espagne.;Orthographe;;"Ajout erroné de « nt » de la 3P PL au lieu de ""s"" d'accord au participe passé d’un verbe du 3e groupe";L1-L2 histoire ;RBCE-5WQU;25/01/2019 12:02:20;;25/01/2019 12:03:02;41,1891768;FR;Direct;PC;Terminé
711;les peuples conquits;Orthographe;;Ajout erroné d’un « t » à le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;B2FJ-EWPV;25/01/2019 12:03:02;;25/01/2019 12:03:35;32,6484101;FR;Direct;PC;Terminé
712;Comment les musulmans ont-il réussit à unir les tribues d'Arabies ?;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;JKQ5-B9RA;25/01/2019 12:03:37;;25/01/2019 12:04:17;39,3240317;FR;Direct;PC;Terminé
713;Le groupe que formaient les clercs exclu le rapport charnel.;Orthographe;;"Absence de ""t"" de la 3P SG dans la désinence du passé simple d'un verbe du 3e groupe";L1-L2 histoire ;WRUN-WL4V;25/01/2019 12:04:18;;25/01/2019 12:05:35;77,3566377;FR;Direct;PC;Terminé
714;L’amitié concerne avant tout des hommes d’âge moyen et exclu tout les autre types d’individu.;Orthographe;;"Absence de ""e"" de la 3P SG dans la désinence du présent de l'indicatif d'un verbe du 3e groupe";L1-L2 histoire ;GYYV-CNJT;25/01/2019 12:05:37;;25/01/2019 12:07:13;96,4876494;FR;Direct;PC;Terminé
715;Les réformes misent en place par Ephialte s’avèrent importantes ;Orthographe;;"Ajout erroné de « nt » de la 3P PL au lieu de ""s"" d'accord au participe passé d’un verbe du 3e groupe";L1-L2 histoire ;U4X8-BR42;25/01/2019 12:07:14;;25/01/2019 12:08:30;75,8861623;FR;Direct;PC;Terminé
716;Ce texte révèle aussi les rouages, les transmissions du pouvoir et l'idéologie misent en place par Auguste et par la suite la dynastie julio claudienne dans l'élaboration de l'Empire romain;Orthographe;;"Emploi erroné de « nt » de la 3P PL au lieu de ""s"" d'accord au participe passé d’un verbe du 3e groupe";L1-L2 histoire ;2RDM-Z2EZ;25/01/2019 12:08:31;;25/01/2019 12:09:20;48,7416245;FR;Direct;PC;Terminé
717;Les Spartiates sont connuent pour leur habileté au combat et leur courage.;Orthographe;;Emploi erroné de « nt » de la 3P PL au lieu de « s » de l’accord au participe passé d’un verbe du 3e groupe;L1-L2 histoire ;KZJH-38LK;25/01/2019 12:09:21;;25/01/2019 12:10:01;40,1321827;FR;Direct;PC;Terminé
718;pour asseoir sa domination sur les territoires concquit;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;HRAZ-T3XU;25/01/2019 12:10:02;;25/01/2019 12:10:46;43,19527;FR;Direct;PC;Terminé
719;nous verrons qu’un absolutisme amoindrit était déjà présent avant le Roi soleil.;;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;72BA-R778;25/01/2019 12:10:47;;25/01/2019 12:12:11;84,3456986;FR;Direct;PC;Terminé
720;Il se maria avec la fille de Catherine de Medicis, catholique, ce qui a surprit tous les Français.;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;BXAX-A5QC;25/01/2019 12:12:12;;25/01/2019 12:12:28;16,1036764;FR;Direct;PC;Terminé
721;Pour la 5e fois qu’il se converti, il perdit sa crédibilité.;Orthographe;;"Absence de ""t"" dans la désinence de la 3P SG dans le le participe passé d’un verbe du 1er groupe";L1-L2 histoire ;TCEF-2L3F;25/01/2019 12:12:30;;25/01/2019 12:14:13;103,7454626;FR;Direct;PC;Terminé
722;La défaite de Pavie de 1525 est le coup le plus dur subit par ce pré-absolutisme défait par une puissance étrangère.;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;8T83-6J8Z;25/01/2019 12:14:14;;25/01/2019 12:14:56;41,7506813;FR;Direct;PC;Terminé
723;L’absolutisme se caractérise par un pouvoir centralisé, autonome, définit sur la base juridique d’un « roi empereur en son royaume »;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;GQ5M-YWZY;25/01/2019 12:14:57;;25/01/2019 12:15:20;22,6996539;FR;Direct;PC;Terminé
724;Le pré-absolutisme est donc perçut comme ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 3e groupe;L1-L2 histoire ;DRYZ-TZPK;25/01/2019 12:15:21;;25/01/2019 12:15:32;11,5719331;FR;Direct;PC;Terminé
725;L’ager publicus représente les terres acquisent lors de la conquête de l’Italie ;Orthographe;;Emploi erroné de « nt » de la 3P PL au lieu de « s » de l’accord au participe passé d’un verbe du 3e groupe;L1-L2 histoire ;8A7M-CTPL;25/01/2019 12:15:33;;25/01/2019 12:15:56;23,0036873;FR;Direct;PC;Terminé
726;Il fait assassiné ces opposant politique comme le consul Bibulus descendut sur le forum, qui lui s’opposait à la loie sur les terres;Orthographe;;Emploi erroné d’un « u » au lieu d’un « i » dans la désinence de la 3P SG au passé simple d’un verbe du 3e groupe;L1-L2 histoire ;ZDWA-4VQQ;25/01/2019 12:15:58;;25/01/2019 12:17:58;120,2530163;FR;Direct;PC;Terminé
727;Les conjurés sont décris comme impitoyables;Orthographe;;Absence de « t » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;DK25-P5TU;25/01/2019 12:18:03;;25/01/2019 12:19:30;86,8834682;FR;Direct;PC;Terminé
728;On y trouve un extrait du testament d'Auguste suivit d'une description de ses funérailles;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 3e groupe;L1-L2 histoire ;UXCR-PYUL;25/01/2019 12:19:31;;25/01/2019 12:20:02;31,5178253;FR;Direct;PC;Terminé
729;Le crime est commit avec un gourdin;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;EE8G-Q9F5;25/01/2019 12:20:03;;25/01/2019 12:20:23;19,8638544;FR;Direct;PC;Terminé
730;Plusieurs artifices ont permi la réalisation d'un monde musulman hétéroclite.;Orthographe;;"Absence de ""s"" dans le participe passé d'un verbe du 3e groupe";L1-L2 histoire ;3MYY-5WMP;25/01/2019 12:20:25;;25/01/2019 12:21:25;59,9753592;FR;Direct;PC;Terminé
731;Le plus haut crime selon l’ordre social établit;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;RG7N-2DWN;25/01/2019 12:21:27;;25/01/2019 12:21:48;21,5372455;FR;Direct;PC;Terminé
732;Julie, la fille d'Auguste, qui a épousé Marcellus, Tibère en 12 bien qu'elle reçu un « legs » « n’est pas rappelée  ;Orthographe;;"Absence de ""t"" dans la désinence de la 3p SG du passé simple d'un verbe du 3e groupe";L1-L2 histoire ;2TRA-XHKS;25/01/2019 12:21:49;;25/01/2019 12:22:39;49,6322933;FR;Direct;PC;Terminé
733;Il déteste et haï les paysans ;Orthographe;;Emploi erroné du radical d'un verbe du 2 groupe;L1-L2 histoire ;7DHX-Y9WW;25/01/2019 12:22:41;;25/01/2019 12:23:55;74,5725223;FR;Direct;PC;Terminé
734;C'est une source secondaire, dans laquelle Dion Cassius regroupe ses recherches réalisées sur des inscriptions, des témoignages, des récits écrient du vivant d'Auguste, entre 27 av. JC et 14 après JC, complétés par des textes postérieurs;Orthographe;;Confusion du participe passé et de la forme verbale d'un verbe du 3e groupe (emploi erroné de la désinence de la 3P PL dans le p.p.);L1-L2 histoire ;DV74-CN7J;25/01/2019 12:23:56;;25/01/2019 12:26:50;173,9028427;FR;Direct;PC;Terminé
735;Plutarque écri sur des événement déroulés il y a plus de 100 ans.  ;Orthographe;;"Absence de 't"" dans la participe passé d'un verbe du 3e groupe";L1-L2 histoire ;6U6Y-6CT4;25/01/2019 12:26:51;;25/01/2019 12:28:19;87,3573312;FR;Direct;PC;Terminé
736;César fait partit de la famille des Iulii ;Orthographe;;"Emploi erroné de la forme verbale de la 3P SG au lieu du nom commun (emploi de ""t"" au lieu de ""e"")";L1-L2 histoire ;DQCS-SMDY;25/01/2019 12:28:20;;25/01/2019 12:29:31;71,5471001;FR;Direct;PC;Terminé
737;Auguste est un stratège politique, il a réussit à se hisser à la tête du Sénat ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;5NK8-66UD;25/01/2019 12:29:33;;25/01/2019 12:29:49;16,1081643;FR;Direct;PC;Terminé
738;Il a réussit à fidéliser ses légions ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;XGVP-9BK8;25/01/2019 12:29:50;;25/01/2019 12:30:16;26,2132353;FR;Direct;PC;Terminé
739;En effet, on voit à travers ce récit fournit par Dion Cassius…;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;U7B5-L83G;25/01/2019 12:30:17;;25/01/2019 12:30:44;26,8460996;FR;Direct;PC;Terminé
740;Auguste aura réussit à pacifier l’Egypte ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;F6SE-4AS3;25/01/2019 12:30:45;;25/01/2019 12:31:17;31,5184528;FR;Direct;PC;Terminé
741;Ses opposants lui reprochaient d’avoir réunit tous les pouvoirs en lui ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;NNU9-QWSL;25/01/2019 12:31:18;;25/01/2019 12:31:37;19,857837;FR;Direct;PC;Terminé
742;Rome, depuis sa création, a subit beaucoup de changements ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;PHZ9-XK74;25/01/2019 12:31:39;;25/01/2019 12:31:53;14,1299723;FR;Direct;PC;Terminé
743;Il était loin d’avoir accomplit;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;84ZQ-QTMQ;25/01/2019 12:31:54;;25/01/2019 12:32:40;46,334725;FR;Direct;PC;Terminé
744;les conjurés sont décris comme impitoyables ;Orthographe;;"Absence de ""t"" dans le participe passé d'un verbe du troisième groupe";L1-L2 histoire ;QZFX-4AFM;25/01/2019 12:32:42;;25/01/2019 12:33:24;42,1548694;FR;Direct;PC;Terminé
745;le plus haut crime selon l’ordre social établit ;Orthographe;;Emploi erroné d’un « t » au lieu d’un « s » dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;5KEX-7NGW;25/01/2019 12:33:25;;25/01/2019 12:33:54;29,3019543;FR;Direct;PC;Terminé
746;César lui a permit d’atteindre le bout de son cursus honorum ;Orthographe;;César lui a permit d’atteindre le bout de son cursus honorum ;L1-L2 histoire ;3W9Z-MYW4;25/01/2019 12:33:55;;25/01/2019 12:34:27;31,4834743;FR;Direct;PC;Terminé
747;Il l'associe au pouvoir en tant que « co-régent » (concept définit par Th. Mommsen). ;Orthographe;;Ajout erroné d’un « t » au participe passé d’un verbe du 2e groupe;L1-L2 histoire ;RH9U-3MFB;25/01/2019 12:34:28;;25/01/2019 12:34:46;18,139826;FR;Direct;PC;Terminé
748;Parmis les populations soumisent;Orthographe;;Emploi erroné de « nt » de la 3P PL au lieu de « s » de l’accord dans le participe passé d’un verbe du 3e groupe;L1-L2 histoire ;FB8R-XPSE;25/01/2019 12:34:47;;25/01/2019 12:35:17;29,7002515;FR;Direct;PC;Terminé
749;Louis XIV règnat jusqu’à sa mort à 77 ans.;Orthographe;;Terminaison erronée P3 passé simple;L1-L2 histoire;REHC-CY5D;31/01/2019 09:12:09;;31/01/2019 09:18:11;362,6583728;FR;Direct;PC;Terminé
750;Il se mariat avec la fille de Catherine de Medicis, catholique, ce qui a surpris tous les Français.;Orthographe;;Terminaison erronée P3 passé simple;L1-L2 histoire;M3N9-E2HV;31/01/2019 09:18:13;;31/01/2019 09:18:27;14,1821349;FR;Direct;PC;Terminé
751;Il convaint l’assemblée;Orthographe;;Terminaison erronée P3 passé simple;L1-L2 histoire;LCBP-35N4;31/01/2019 09:18:28;;31/01/2019 09:19:34;65,3984775;FR;Direct;PC;Terminé
752;fesant référence;Orthographe;;Orthographe erronée du radical;L1-L2 histoire;F9YL-QDFR;31/01/2019 09:19:35;;31/01/2019 09:22:30;175,5507223;FR;Direct;PC;Terminé
753;Les nobles essaye de contrer le pouvoir des princes allemand.;Orthographe;;Terminaison erronée P6 présent indicatif;L1-L2 histoire;YR9Z-5LSS;31/01/2019 09:22:32;;31/01/2019 09:23:24;51,6902811;FR;Direct;PC;Terminé
754;Renforcer le pouvoir de César dont dessent Auguste légitimise le pouvoir;Orthographe;;Terminaison erronée P3 présent indicatif;L1-L2 histoire;VYKR-PPMY;31/01/2019 09:23:25;;31/01/2019 09:23:50;25,4067924;FR;Direct;PC;Terminé
755;Durant la seconde phase, il acquière de plus en plus de pouvoirs, il devient notamment consul à vie ;Orthographe;;Terminaison erronée P3 présent indicatif;L1-L2 histoire;MYGD-CFAA;31/01/2019 09:23:52;;31/01/2019 09:24:39;47,1949936;FR;Direct;PC;Terminé
756;Il possède beaucoup de pouvoirs qu’il acquière au fil des années ;Orthographe;;Terminaison erronée P3 présent indicatif;L1-L2 histoire;9LYV-RY9K;31/01/2019 09:24:40;;31/01/2019 09:25:58;77,7218054;FR;Direct;PC;Terminé
757;Il conquière de nombreux territoires ;Orthographe;;Terminaison erronée P3 présent indicatif;L1-L2 histoire;CHPC-5VPP;31/01/2019 09:26:00;;31/01/2019 09:26:33;33,61152;FR;Direct;PC;Terminé
758;il déteste et haï les paysans ;Orthographe;;Emploi erroné d’un radical tonique au lieu du radical atone;L1-L2 histoire;TGZ8-FUEX;31/01/2019 09:26:35;;31/01/2019 09:28:13;98,2748214;FR;Direct;PC;Terminé
